Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
1,Abilene Christian,31,10,21,0.323,-6.34,4,14,1976,2186,695,1684,0.413,232,610,0.38,354,487,0.727,274,897,394,203,38,399,661
2,Air Force,31,14,17,0.452,-0.71,6,12,2037,2017,742,1565,0.474,232,625,0.371,321,487,0.659,265,930,483,195,65,366,552
3,Akron,35,21,14,0.6,-0.47,9,9,2382,2203,824,1982,0.416,328,937,0.35,406,617,0.658,420,1249,435,230,155,422,654
4,Alabama A&M,29,9,20,0.31,-9.62,8,10,1797,1988,608,1533,0.397,166,577,0.288,415,643,0.645,367,998,354,165,68,413,573
5,Alabama-Birmingham NCAA,36,20,16,0.556,1.62,12,6,2476,2452,873,2042,0.428,202,607,0.333,528,715,0.738,434,1322,516,237,184,482,630
6,Alabama State,29,19,10,0.655,-12.71,14,4,2090,1937,761,1738,0.438,172,480,0.358,396,609,0.65,389,1151,393,184,122,397,520
7,Alabama,34,19,15,0.559,8.09,8,10,2280,2180,760,1724,0.441,221,697,0.317,539,752,0.717,325,1122,350,219,125,407,654
8,Albany (NY) NCAA,33,24,9,0.727,-5.18,15,1,2156,1996,729,1666,0.438,205,572,0.358,493,650,0.758,334,1111,349,187,53,381,544
9,Alcorn State,32,6,26,0.188,-9.95,4,14,2066,2377,724,1864,0.388,155,553,0.28,463,704,0.658,376,1038,285,191,86,367,571
10,American,33,17,16,0.515,-3.71,8,10,1938,1933,683,1479,0.462,213,571,0.373,359,509,0.705,188,827,408,196,84,370,484
11,Appalachian State,29,12,17,0.414,-3.18,9,11,1841,2033,637,1602,0.398,186,588,0.316,381,537,0.709,329,1010,318,122,61,397,551
12,Arizona State,34,18,16,0.529,6.66,9,9,2360,2263,809,1818,0.445,231,660,0.35,511,766,0.667,365,1184,431,199,79,474,638
13,Arizona NCAA,38,34,4,0.895,7.41,16,2,2911,2268,1009,2068,0.488,193,536,0.36,700,974,0.719,411,1399,528,275,131,419,681
14,Little Rock,31,13,18,0.419,-3.81,8,12,2146,2180,741,1779,0.417,219,636,0.344,445,632,0.704,329,1063,380,174,86,326,588
15,Arkansas-Pine Bluff,32,12,20,0.375,-8.61,9,9,1915,2140,657,1639,0.401,204,613,0.333,397,584,0.68,326,927,323,283,108,489,623
16,Arkansas State,29,11,18,0.379,-3.81,6,14,1869,2018,664,1631,0.407,169,514,0.329,372,530,0.702,318,1038,321,154,89,390,496
17,Arkansas NCAA,36,27,9,0.75,6.79,13,5,2787,2525,978,2196,0.445,238,681,0.349,593,819,0.724,470,1290,579,277,168,430,684
18,Army,30,15,15,0.5,-4.98,6,12,2164,2163,779,1768,0.441,227,697,0.326,379,557,0.68,325,1033,437,192,106,396,612
19,Auburn,35,15,20,0.429,8.15,4,14,2378,2523,760,1880,0.404,252,727,0.347,606,910,0.666,356,1104,376,238,89,452,708
