Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
150,Lipscomb,31,14,17,0.452,-5.15,7,7,2232,2322,741,1769,0.419,253,770,0.329,497,715,0.695,345,1112,432,175,61,412,662
151,Long Beach State,33,16,17,0.485,4.16,10,6,2188,2221,761,1809,0.421,230,672,0.342,436,638,0.683,370,1126,369,216,78,445,636
152,Long Island University,30,12,18,0.4,-5.32,8,10,2022,2135,677,1726,0.392,195,601,0.324,473,687,0.689,368,1121,346,171,75,411,605
153,Longwood,34,11,23,0.324,-5.53,5,13,2311,2491,809,1899,0.426,275,746,0.369,418,580,0.721,324,1071,397,270,106,489,671
154,Louisiana,36,22,14,0.611,-3.61,13,7,2789,2520,975,2125,0.459,240,670,0.358,599,848,0.706,452,1421,529,239,145,525,665
155,Louisiana-Monroe,38,24,14,0.632,-2.88,14,6,2454,2299,923,2162,0.427,192,634,0.303,416,583,0.714,436,1400,497,197,153,439,578
156,Louisiana State NCAA,33,22,11,0.667,5.63,11,7,2423,2233,892,1962,0.455,189,558,0.339,450,658,0.684,401,1294,516,240,204,476,516
157,Louisiana Tech,36,27,9,0.75,-1.34,15,3,2632,2362,945,2112,0.447,248,756,0.328,494,716,0.69,375,1210,504,303,207,390,597
158,Louisville NCAA,36,27,9,0.75,8.98,12,6,2483,2154,878,2048,0.429,198,644,0.307,529,792,0.668,454,1351,419,283,192,408,623
159,Loyola (IL),37,24,13,0.649,0.46,8,10,2324,2235,841,1776,0.474,224,571,0.392,418,608,0.688,291,1078,489,240,84,466,568
160,Loyola Marymount,31,8,23,0.258,5.28,4,14,1928,2188,678,1622,0.418,160,452,0.354,412,580,0.71,351,1011,388,188,108,422,540
161,Loyola (MD),30,11,19,0.367,-3.38,7,11,1764,1985,607,1591,0.382,148,456,0.325,402,599,0.671,346,1047,290,166,92,388,594
162,Maine,30,3,27,0.1,-3.4,2,14,1812,2244,647,1599,0.405,197,609,0.323,321,442,0.726,238,881,393,179,32,432,554
163,Manhattan NCAA,33,19,14,0.576,-3.34,13,7,2300,2234,756,1748,0.432,215,640,0.336,573,829,0.691,345,1065,460,264,92,481,758
164,Marist,32,7,25,0.219,-2.93,5,15,1957,2201,649,1629,0.398,226,717,0.315,433,619,0.7,230,936,336,223,90,436,571
165,Marquette,32,13,19,0.406,9.02,4,14,2083,2145,742,1699,0.437,207,602,0.344,392,608,0.645,306,1000,479,241,111,402,505
166,Marshall,32,11,21,0.344,-0.22,7,11,2137,2288,738,1840,0.401,249,788,0.316,412,636,0.648,357,1195,412,212,93,499,634
167,Maryland-Baltimore County,30,4,26,0.133,-5.14,2,14,1682,2013,591,1441,0.41,153,469,0.326,347,539,0.644,225,902,338,197,90,467,475
168,Maryland-Eastern Shore,33,18,15,0.545,-6.94,11,5,2229,2216,752,1660,0.453,213,557,0.382,512,781,0.656,379,1100,447,248,47,504,658
169,Maryland NCAA,35,28,7,0.8,7.63,14,4,2417,2218,781,1777,0.44,258,687,0.376,597,790,0.756,314,1223,376,169,151,431,584
170,Massachusetts-Lowell,29,12,17,0.414,-4.32,6,10,1780,1928,610,1481,0.412,223,622,0.359,337,508,0.663,212,837,323,201,28,383,523
171,Massachusetts,32,17,15,0.531,4.69,10,8,2220,2255,772,1785,0.432,144,488,0.295,532,756,0.704,384,1177,429,216,135,451,591
172,McNeese State,31,15,16,0.484,-5.42,8,10,2154,2210,792,1873,0.423,193,620,0.311,377,579,0.651,413,1118,409,223,145,333,528
173,Memphis,32,18,14,0.563,2.9,10,8,2155,2019,802,1827,0.439,166,506,0.328,385,578,0.666,409,1195,460,224,208,427,587
174,Mercer,35,19,16,0.543,-4.1,12,6,2334,2196,808,1840,0.439,212,611,0.347,506,736,0.688,385,1191,468,224,90,377,560
175,Miami (FL),38,25,13,0.658,7.05,10,8,2592,2404,878,2053,0.428,292,816,0.358,544,729,0.746,377,1317,488,209,126,385,593
176,Miami (OH),32,13,19,0.406,0.31,8,10,2123,2226,739,1679,0.44,187,546,0.342,456,643,0.709,268,984,375,245,64,411,602
177,Michigan State NCAA,39,27,12,0.692,10,12,6,2773,2482,1014,2181,0.465,294,763,0.385,451,714,0.632,436,1458,646,203,176,441,738
178,Michigan,32,16,16,0.5,9.59,8,10,2071,2048,734,1724,0.426,250,696,0.359,353,468,0.754,267,966,382,174,57,306,455
179,Middle Tennessee,36,19,17,0.528,-0.39,9,9,2285,2247,773,1867,0.414,242,675,0.359,497,710,0.7,386,1215,396,214,112,469,660
180,Milwaukee,30,14,16,0.467,0.15,9,7,1963,2077,659,1564,0.421,211,624,0.338,434,589,0.737,264,982,388,157,83,382,518
181,Minnesota,33,18,15,0.545,7.21,6,12,2449,2233,890,1924,0.463,243,638,0.381,426,634,0.672,352,1087,519,313,110,400,596
182,Mississippi State,32,13,19,0.406,4.72,6,12,1977,2032,669,1557,0.43,133,434,0.306,506,727,0.696,324,1099,278,205,90,474,606
183,Mississippi Valley State,32,6,26,0.188,-7.78,5,13,2045,2562,738,1911,0.386,157,519,0.303,412,630,0.654,382,1052,338,241,37,481,589
184,Mississippi NCAA,34,21,13,0.618,7.01,11,7,2475,2326,848,2003,0.423,220,662,0.332,559,723,0.773,430,1284,450,225,128,378,668
