Rk,School,Total Games,Total Wins,Total Losses,Total W-L%,SOS,Conference W,Conference L,Team Points,Opp. Points,FGM,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,Turnovers,PF
174,Mercer,34,19,15,0.559,-4.55,8,10,2446,2339,871,1958,0.445,210,612,0.343,494,676,0.731,436,1363,509,174,85,431,588
175,Miami (FL) NCAA,35,27,8,0.771,10.69,13,5,2633,2359,907,1895,0.479,241,643,0.375,578,772,0.749,330,1207,438,215,127,383,581
176,Miami (OH),33,13,20,0.394,-0.25,6,12,2089,2249,719,1781,0.404,178,582,0.306,471,646,0.729,326,1068,336,218,72,402,617
177,Michigan State NCAA,35,29,6,0.829,6.94,13,5,2793,2245,1009,2078,0.486,321,739,0.434,454,623,0.729,415,1454,719,156,177,406,671
178,Michigan NCAA,36,23,13,0.639,7.92,10,8,2656,2426,947,2048,0.462,342,901,0.38,420,569,0.738,290,1152,537,203,81,348,558
179,Middle Tennessee NCAA,35,25,10,0.714,-0.7,13,5,2539,2410,909,2025,0.449,279,716,0.39,442,718,0.616,369,1283,455,215,123,419,700
180,Milwaukee,33,20,13,0.606,-2.02,10,8,2618,2391,879,1927,0.456,306,842,0.363,554,718,0.772,320,1195,566,149,86,362,562
181,Minnesota,31,8,23,0.258,6.86,2,16,2108,2294,724,1785,0.406,191,616,0.31,469,662,0.708,310,1067,379,170,112,354,565
182,Mississippi State,31,14,17,0.452,6.02,7,11,2323,2256,850,1862,0.456,225,674,0.334,398,549,0.725,325,1096,431,202,132,393,596
183,Mississippi Valley State,35,8,27,0.229,-8.11,6,12,2293,2704,826,2129,0.388,179,590,0.303,462,667,0.693,380,1245,373,241,82,470,671
184,Mississippi,32,20,12,0.625,4.81,10,8,2405,2306,796,1916,0.415,252,746,0.338,561,791,0.709,424,1230,412,242,100,386,635
185,Missouri-Kansas City,31,12,19,0.387,-2.24,4,10,2152,2240,746,1738,0.429,213,588,0.362,447,663,0.674,356,1084,350,181,98,415,651
186,Missouri State,32,13,19,0.406,2.58,8,10,2153,2321,752,1817,0.414,168,533,0.315,481,713,0.675,333,1135,390,199,130,409,622
187,Missouri,31,10,21,0.323,6.88,3,15,2126,2262,732,1736,0.422,175,565,0.31,487,688,0.708,295,1109,362,169,81,386,636
188,Monmouth,36,28,8,0.778,-1.85,17,3,2861,2604,963,2214,0.435,282,770,0.366,653,850,0.768,388,1397,443,296,128,443,767
189,Montana State,31,14,17,0.452,-5.35,9,9,2369,2411,831,1916,0.434,297,797,0.373,410,598,0.686,394,1159,392,149,62,375,683
190,Montana,33,21,12,0.636,-4.29,14,4,2393,2225,841,1807,0.465,254,680,0.374,457,657,0.696,304,1138,451,173,83,409,712
191,Morehead State,37,23,14,0.622,-1.65,11,5,2722,2553,974,2219,0.439,215,593,0.363,557,801,0.695,541,1380,533,304,83,464,859
192,Morgan State,31,9,22,0.29,-7.97,6,10,2089,2223,734,1854,0.396,161,535,0.301,460,672,0.685,377,1089,349,188,68,368,572
193,Mount St. Mary's,33,14,19,0.424,-7.99,10,8,2218,2282,788,1967,0.401,226,713,0.317,416,601,0.692,318,1022,361,248,119,401,655
194,Murray State,31,17,14,0.548,-3.06,10,6,2212,2093,770,1694,0.455,226,621,0.364,444,613,0.724,308,1018,445,186,66,367,617
